"";"codmun";"nome";"uf";"string";"lat";"lon"
"148";1400472;"Rorainópolis";"Roraima";"Rorainópolis, Roraima, Brasil";0,9387308;-60,4236463
"149";1400506;"São João da Baliza";"Roraima";"São João da Baliza, Roraima, Brasil";0,951659;-59,9132929
"150";1400605;"São Luiz";"Roraima";"São Luiz, Roraima, Brasil";1,0141601;-60,0380698
"151";1400704;"Uiramutã";"Roraima";"Uiramutã, Roraima, Brasil";4,5972942;-60,1668169
"152";1500107;"Abaetetuba";"Pará";"Abaetetuba, Pará, Brasil";-1,7218279;-48,8788429
"153";1500131;"Abel Figueiredo";"Pará";"Abel Figueiredo, Pará, Brasil";-4,9627418;-48,3939536597036
"154";1500206;"Acará";"Pará";"Acará, Pará, Brasil";-1,9613879;-48,1987042
"155";1500305;"Afuá";"Pará";"Afuá, Pará, Brasil";-0,1555028;-50,3888664
"156";1500347;"Água Azul do Norte";"Pará";"Água Azul do Norte, Pará, Brasil";-6,7626111;-50,3288162442493
"157";1500404;"Alenquer";"Pará";"Alenquer, Pará, Brasil";-0,29781785;-55,1527193736457
"158";1500503;"Almeirim";"Pará";"Almeirim, Pará, Brasil";-1,5290376;-52,578811
"159";1500602;"Altamira";"Pará";"Altamira, Pará, Brasil";-3,2040649;-52,2099609
"160";1500701;"Anajás";"Pará";"Anajás, Pará, Brasil";-0,9878801;-49,9390113
"161";1500800;"Ananindeua";"Pará";"Ananindeua, Pará, Brasil";-1,3740349;-48,4016622
"162";1500859;"Anapu";"Pará";"Anapu, Pará, Brasil";-3,4698469;-51,2002639
"163";1500909;"Augusto Corrêa";"Pará";"Augusto Corrêa, Pará, Brasil";-1,0510867;-46,6146842233917
"164";1500958;"Aurora do Pará";"Pará";"Aurora do Pará, Pará, Brasil";-2,260079;-47,7067807712205
"165";1501006;"Aveiro";"Pará";"Aveiro, Pará, Brasil";-3,69233465;-55,2845762443219
"166";1501105;"Bagre";"Pará";"Bagre, Pará, Brasil";-1,8994497;-50,2103843
"167";1501204;"Baião";"Pará";"Baião, Pará, Brasil";-2,8208082;-49,5731421996506
"168";1501253;"Bannach";"Pará";"Bannach, Pará, Brasil";-7,3508504;-50,406453
"169";1501303;"Barcarena";"Pará";"Barcarena, Pará, Brasil";-1,5107944;-48,6190678
"170";1501402;"Belém";"Pará";"Belém, Pará, Brasil";-1,4505599;-48,4682452
"171";1501451;"Belterra";"Pará";"Belterra, Pará, Brasil";-2,6360909;-54,9373919
"172";1501501;"Benevides";"Pará";"Benevides, Pará, Brasil";-1,3555576;-48,2522349
"173";1501576;"Bom Jesus do Tocantins";"Pará";"Bom Jesus do Tocantins, Pará, Brasil";-5,02850085;-48,7712257165301
"174";1501600;"Bonito";"Pará";"Bonito, Pará, Brasil";-1,3946001;-47,3136707978103
"175";1501709;"Bragança";"Pará";"Bragança, Pará, Brasil";-1,0573966;-46,7635405
"176";1501725;"Brasil Novo";"Pará";"Brasil Novo, Pará, Brasil";-3,3045181;-52,6103830237441
"177";1501758;"Brejo Grande do Araguaia";"Pará";"Brejo Grande do Araguaia, Pará, Brasil";-5,7637351;-48,4984002307383
