codmun;nome;uf;string
1506807;Santarém;Pará;Santarém, Pará, Brasil
1506906;Santarém Novo;Pará;Santarém Novo, Pará, Brasil
1507003;Santo Antônio do Tauá;Pará;Santo Antônio do Tauá, Pará, Brasil
1507102;São Caetano de Odivelas;Pará;São Caetano de Odivelas, Pará, Brasil
1507151;São Domingos do Araguaia;Pará;São Domingos do Araguaia, Pará, Brasil
1507201;São Domingos do Capim;Pará;São Domingos do Capim, Pará, Brasil
1507300;São Félix do Xingu;Pará;São Félix do Xingu, Pará, Brasil
1507409;São Francisco do Pará;Pará;São Francisco do Pará, Pará, Brasil
1507458;São Geraldo do Araguaia;Pará;São Geraldo do Araguaia, Pará, Brasil
1507466;São João da Ponta;Pará;São João da Ponta, Pará, Brasil
1507474;São João de Pirabas;Pará;São João de Pirabas, Pará, Brasil
1507508;São João do Araguaia;Pará;São João do Araguaia, Pará, Brasil
1507607;São Miguel do Guamá;Pará;São Miguel do Guamá, Pará, Brasil
1507706;São Sebastião da Boa Vista;Pará;São Sebastião da Boa Vista, Pará, Brasil
1507755;Sapucaia;Pará;Sapucaia, Pará, Brasil
1507805;Senador José Porfírio;Pará;Senador José Porfírio, Pará, Brasil
1507904;Soure;Pará;Soure, Pará, Brasil
1507953;Tailândia;Pará;Tailândia, Pará, Brasil
1507961;Terra Alta;Pará;Terra Alta, Pará, Brasil
1507979;Terra Santa;Pará;Terra Santa, Pará, Brasil
1508001;Tomé-Açu;Pará;Tomé-Açu, Pará, Brasil
1508035;Tracuateua;Pará;Tracuateua, Pará, Brasil
1508050;Trairão;Pará;Trairão, Pará, Brasil
1508084;Tucumã;Pará;Tucumã, Pará, Brasil
1508100;Tucuruí;Pará;Tucuruí, Pará, Brasil
1508126;Ulianópolis;Pará;Ulianópolis, Pará, Brasil
1508159;Uruará;Pará;Uruará, Pará, Brasil
1508209;Vigia;Pará;Vigia, Pará, Brasil
1508308;Viseu;Pará;Viseu, Pará, Brasil
1508357;Vitória do Xingu;Pará;Vitória do Xingu, Pará, Brasil
1508407;Xinguara;Pará;Xinguara, Pará, Brasil
1600105;Amapá;Amapá;Amapá, Amapá, Brasil
1600204;Calçoene;Amapá;Calçoene, Amapá, Brasil
1600212;Cutias;Amapá;Cutias, Amapá, Brasil
1600238;Ferreira Gomes;Amapá;Ferreira Gomes, Amapá, Brasil
1600253;Itaubal;Amapá;Itaubal, Amapá, Brasil
1600279;Laranjal do Jari;Amapá;Laranjal do Jari, Amapá, Brasil
1600303;Macapá;Amapá;Macapá, Amapá, Brasil
1600402;Mazagão;Amapá;Mazagão, Amapá, Brasil
1600501;Oiapoque;Amapá;Oiapoque, Amapá, Brasil
1600154;Pedra Branca do Amapari;Amapá;Pedra Branca do Amapari, Amapá, Brasil
1600535;Porto Grande;Amapá;Porto Grande, Amapá, Brasil
1600550;Pracuúba;Amapá;Pracuúba, Amapá, Brasil
1600600;Santana;Amapá;Santana, Amapá, Brasil
1600055;Serra do Navio;Amapá;Serra do Navio, Amapá, Brasil
1600709;Tartarugalzinho;Amapá;Tartarugalzinho, Amapá, Brasil
1600808;Vitória do Jari;Amapá;Vitória do Jari, Amapá, Brasil
1700251;Abreulândia;Tocantins;Abreulândia, Tocantins, Brasil
1700301;Aguiarnópolis;Tocantins;Aguiarnópolis, Tocantins, Brasil
1700350;Aliança do Tocantins;Tocantins;Aliança do Tocantins, Tocantins, Brasil
1700400;Almas;Tocantins;Almas, Tocantins, Brasil
1700707;Alvorada;Tocantins;Alvorada, Tocantins, Brasil
1701002;Ananás;Tocantins;Ananás, Tocantins, Brasil
1701051;Angico;Tocantins;Angico, Tocantins, Brasil
1701101;Aparecida do Rio Negro;Tocantins;Aparecida do Rio Negro, Tocantins, Brasil
1701309;Aragominas;Tocantins;Aragominas, Tocantins, Brasil
1701903;Araguacema;Tocantins;Araguacema, Tocantins, Brasil
1702000;Araguaçu;Tocantins;Araguaçu, Tocantins, Brasil
1702109;Araguaína;Tocantins;Araguaína, Tocantins, Brasil
1702158;Araguanã;Tocantins;Araguanã, Tocantins, Brasil
1702208;Araguatins;Tocantins;Araguatins, Tocantins, Brasil
1702307;Arapoema;Tocantins;Arapoema, Tocantins, Brasil
1702406;Arraias;Tocantins;Arraias, Tocantins, Brasil
1702554;Augustinópolis;Tocantins;Augustinópolis, Tocantins, Brasil
1702703;Aurora do Tocantins;Tocantins;Aurora do Tocantins, Tocantins, Brasil
1702901;Axixá do Tocantins;Tocantins;Axixá do Tocantins, Tocantins, Brasil
